NOME DA ESCOLA;ANO DE ENCERRAMENTO;ENDEREÇO;CONTATO;ANO DE ENCERRAMENTO;ENDEREÇO;CONTATO
CENTRO DE ENSINO EM PERÍODO INTEGRAL DOM BOSCO;;;;;;
COLÉGIO ÊXODO VESTIBULARES;;;;;;
COLÉGIO FOCOS;;;;;;
COLÉGIO INTEGRADO DE PIRACANJUBA;;;;;;
COLÉGIO SAED;;;;;;
ESCOLA ESTADUAL ABDALA DAHER;;;;;;
ESCOLA ESTADUAL PROFª EMERENCIANA E. A. DOS SANTOS;;;;;;
ESCOLA OLHO VIVO;;;;;;
COLÉGIO ESTADUAL OTONIEL DA CUNHA;;;;;;
COLÉGIO TEREZINHA DE JESUS;;;;;;
CEPI LÉO LYNCE;;;;;;
COLÉGIO ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA;;;;;;
